わたし
あなた
あの人
あの方
皆さん
～さん
～ちゃん
～人
先生
教師
学生
会社員
社員
銀行員
医者
研究者
大学
病院
だれ
どなた
～歳
何歳
おいくつ
はい
いいえ
失礼ですが
お名前は
初めまして
どうぞよろしく（お願いします）
こちらは～さんです
～から来ました
アメキカ
イギリス
インド
インドネシア
韓国
タイ
中国
ドイツ
日本
フランス
ブラジル
