ハンサム
きれい
静か
にぎやか
有名
親切
元気
暇
便利
すてき
大きい
小さい
新しい
古い
いい
悪い
暑い
熱い
寒い
冷たい
難しい
易しい
高い
安い
低い
おもしろい
おいしい
忙しい
楽しい
白い
黒い
赤い
青い
桜
山
町
食べ物
車
所
寮
勉強
生活
仕事
どう
どんな
どれ
とても
あまり
そして
